"Section","Group","Field","Type","Value","Time Line","P&P","Default Value","Department","Roles","Notices","Notice Process","QC / Acknoledgment","Escalation and Notes","Task","Task responsible role","Task due date","Task action","Mandatory Field","Parent Field","Fill only for Role","Task Rule"
"Wholesale","General","Possession at COE","Option","3","0","","","Acquisition Team","Closing Coordinator Acquisition","","","","","","","","","Offer Accepted Date","","","[{"value":"Will Keep Tenant","task":{"role":"Acquisition Manager","name":"Occupancy Issues after COE","message":"Confirm the occupancy issues has been addressed  ","duedate":"0","actiontype":"Task"}},{"value":"Seller will stay after COE","task":{"role":"Acquisition Manager","name":"Occupancy Issues after COE","message":"Confirm the occupancy issues has been addressed  ","duedate":"0","actiontype":"Task"}}]"
"Wholesale","General","Required Double Escrow","Option","2","0","","","Acquisition Team ","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","General","Sale Price to wholesale buyer","Number","3","1.1","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","General","Sales Type","Duplicate from Acquisition Information > General > Sale Type","","","","","","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","General","TC ","Duplicate from Acquisition Information > General > Transaction Coordinator","","","","","","Closing Coordinator Acquisition","","","","","","","","","","","","[{"value":"*","task":{"role":"Closing Coordinator Resale","name":"Project Assigned ","message":"You have been assigned as the TC for... ","duedate":"0","actiontype":"Task"}}]"
"Wholesale","General","Wholesale Notes","Text","","","","","","","","","","","","","","","","","",""
"Wholesale","General","Wholesale Status","Option","2","1.1","","","Acquisition Team","Disposition Manager","","","","","","","","","","Wholesale Status","","[{"value":"Canceled","task":{"role":"Closing Coordinator Acquisition","name":"Cancel Escrow ","message":"Send Cancelation instructions to escrow Template - Cancelation instructions to escrow  and Template -  Cancelation instructions to agent ","duedate":"0","actiontype":"Task"}},{"value":"Assigned/wholesale","task":{"role":"Administrator","name":"Property was Assigned ","message":"Property was Assigned by DM","duedate":"0","actiontype":"FYI"}},{"value":"Canceled","task":{"role":"Acquisition Manager","name":"Notification of Canceled Escrow","message":"Cancelation instructions ware sent to agent and escrow ","duedate":"0","actiontype":"FYI"}},{"value":"Canceled","task":{"role":"Offer Negotiator","name":"Notification of Canceled Escrow","message":"Cancelation instructions ware sent to agent and escrow ","duedate":"0","actiontype":"FYI"}},{"value":"Canceled","task":{"role":"Disposition Manager","name":"Notification of Canceled Escrow","message":"Cancelation instructions ware sent to agent and escrow ","duedate":"0","actiontype":"FYI"}},{"value":"Canceled","task":{"role":"Super Administrator","name":"Notification of Canceled Escrow","message":"Cancelation instructions ware sent to agent and escrow ","duedate":"0","actiontype":"FYI"}},{"value":"Assigned/wholesale","task":{"role":"Super Administrator","name":"Property was Assigned ","message":"Property was Assigned by DM","duedate":"0","actiontype":"FYI"}},{"value":"Assigned/wholesale","task":{"role":"Field Analyst","name":"Update property to  Pending","message":"Update to Pending in https://fairclose.com/properties/","duedate":"0","actiontype":"Task"}},{"value":"Assigned/wholesale","task":{"role":"Offer Negotiator","name":"Property was Assigned ","message":"Property was Assigned by DM - Call Agent using script - %=link(Scripts for wholesaling ,https://docs.google.com/document/d/1sKyBRlesIaUt7R_-0IX0hZXladWqLXUXOEaURNcLDyo/edit#bookmark=id.t91tqwgsp6cl)%","duedate":"0","actiontype":"Call","dependfield":""}},{"value":"Assigned/wholesale","task":{"role":"Disposition Manager","name":"New Buyers EMD Process","message":"Confrim Buyer Wired EMD- Follow the process -%=link(TC & DM - New Buyers EMD Process ,https://docs.google.com/document/d/1b8va2OZxxjQ8fKS9L_cAyZrQtYtFtyRzZOqFmQH8Yik/edit)%","duedate":"1","actiontype":"Task","dependfield":""}},{"value":"Canceled","task":{"role":"null","name":"Follow up on EMD Refund","message":"Follow up on EMD refund and update %=field(Wholesale,EMD,EMD status)% close out files, change status to Pass and  update offer status in IDX to cancel FEC","duedate":"2","actiontype":"Task","dependfield":""}},{"value":"Assigned/wholesale","task":{"role":"Acquisition Manager","name":"Review file and approve removal of contingencies ","message":"Review file and approve removal of contingencies - %=link(AM - Removal of Contingencies Hard Approval,https://docs.google.com/document/d/1J4xzOA8AmMo3EcP2J3v3RKCPrqfn3bg61XrLL8lALCE/edit?usp=sharing)%","duedate":"0","actiontype":"Task","dependfield":""}},{"value":"Assigned/wholesale","task":{"role":"null","name":"New Buyers EMD Process","message":"Determine where the buyers EMD needs to go - Follow the process -%=link(TC & DM - New Buyers EMD Process,https://docs.google.com/document/d/1b8va2OZxxjQ8fKS9L_cAyZrQtYtFtyRzZOqFmQH8Yik/edit)%","duedate":"0","actiontype":"Task","dependfield":""}}]"
"Wholesale","Inspection ","Access Combo","Duplicate from Acquisition Information > General > Access Combo","","","","","","","","","","","","","","","","","",""
"Wholesale","Inspection ","Due Diligence Completed","Duplicate from Due Diligence > Milestones > DD Completed","","","","","","","","","","","","","","","","","",""
"Wholesale","Inspection ","L/A Lock Box Type","Duplicate from Acquisition Information > General > Access / LA Lock Box Type","","","","","","","","","","","","","","","","","",""
"Wholesale","Inspection ","Occupant Type","Duplicate from Acquisition Information > General > Occupant Type","","","","","","","","","","","","","","","","","",""
"Wholesale","Inspection ","Physical Inspection Contingency Removal","Option","2","3","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Inspection ","Physical Inspection Expiration","Duplicate from Acquisition Information > Milestones > DD Deadline","","","","","","","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","AOAA/Vesting Amendment FEC","Attachment","3","3","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information "," AOAA/Vesting Amendment Status","Option","2","3","","","Acquisition Team","Disposition Manager","","","","","","","","","","","","[{"value":"*","task":{"role":"Closing Coordinator Resale","name":"LOC notification","message":"Send Escrow Template: LOC notification to escrow and Send Agent Template: LOC notification to agent   Instructions-   %=link(TC - Transaction and Progress Updates,https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.j5nktwjd9smj)%","duedate":"2","actiontype":"E-mail","dependfield":""}}]"
"Wholesale","Investor / Buyer Information "," Assignment conversation with representing agent","Option","2","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","","[{"value":"Approved","task":{"role":"Disposition Manager","name":"Assignment approved by agent","message":"Assignment approved by agent -","duedate":"0","actiontype":"FYI"}},{"value":"Approved","task":{"role":"Acquisition Manager","name":"Assignment approved by agent","message":"Assignment approved by agent -","duedate":"0","actiontype":"FYI"}},{"value":"Approved","task":{"role":"Administrator","name":"Assignment approved by agent","message":"Assignment approved by agent","duedate":"0","actiontype":"FYI"}},{"value":"Approved","task":{"role":"Super Administrator","name":"Assignment approved by agent","message":"Assignment approved by agent","duedate":"0","actiontype":"FYI"}},{"value":"Not approved - Escalated","task":{"role":"Super Administrator","name":"Assignment NOT approved by agent","message":"Assignment NOT approved by agent - Call ON ","duedate":"0","actiontype":"Call"}},{"value":"Approved","task":{"role":"null","name":"Assignment approved by agent","message":"Assignment approved by agent - start AoAA process - %=link(TC - Transaction and Progress Updates, https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.674xl99cx25j)%","duedate":"0","actiontype":"Task","dependfield":""}},{"value":"Initiated","task":{"role":"Offer Negotiator","name":"Fanalize assignment conversation with agent ","message":"Final assignment conversation with agent  - %=link(Scripts for wholesaling, https://docs.google.com/document/d/1sKyBRlesIaUt7R_-0IX0hZXladWqLXUXOEaURNcLDyo/edit#heading=h.4tblaj2o194)%","duedate":"1","actiontype":"Call","dependfield":""}},{"value":"Agent informed waiting for approval","task":{"role":"Offer Negotiator","name":"Fanalize assignment conversation with agent ","message":"Final assignment conversation with agent  - %=link(Scripts for wholesaling, https://docs.google.com/document/d/1sKyBRlesIaUt7R_-0IX0hZXladWqLXUXOEaURNcLDyo/edit#heading=h.4tblaj2o194)%","duedate":"1","actiontype":"Call","dependfield":""}},{"value":"Agent informed waiting for approval","task":{"role":"Offer Negotiator","name":"Fanalize assignment conversation with agent ","message":"Final assignment conversation with agent  - %=link(Scripts for wholesaling, https://docs.google.com/document/d/1sKyBRlesIaUt7R_-0IX0hZXladWqLXUXOEaURNcLDyo/edit#heading=h.4tblaj2o194)%","duedate":"1","actiontype":"Call","dependfield":""}}]"
"Wholesale","Investor / Buyer Information ","Assignment Fee Received Date","Date","3","11","","","Accounting","Project Accountant","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Buyer Corporate Documents","Attachment","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Buyers EMD Amount","Number","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Buyers EMD Status","Option","2","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","","[{"value":"*","task":{"role":"Closing Coordinator Resale","name":"Call buyers lender for loan update and update","message":"Call buyers lender for loan update and update - %=field(Wholesale,Investor / Buyer Information ,Buyers loan status)%","duedate":"17","actiontype":"Call"}},{"value":"Refunded ISC directly","task":{"role":"Closing Coordinator Resale","name":"Start AoAA process ","message":"Follow the instructions for AoAA- %=link(TC - Transaction and Progress Updates, https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.ujeb17ma44nh)%","duedate":"0","actiontype":"Task","dependfield":""}},{"value":"Sent to AB escrow","task":{"role":"Closing Coordinator Resale","name":"Start AoAA process ","message":"Follow the instructions for AoAA- %=link(TC - Transaction and Progress Updates, https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.ujeb17ma44nh)%","duedate":"0","actiontype":"Task","dependfield":""}},{"value":"Sent to BC Escrow","task":{"role":"Closing Coordinator Resale","name":"Start AoAA process ","message":"Follow the instructions for AoAA- %=link(TC - Transaction and Progress Updates, https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.ujeb17ma44nh)%","duedate":"0","actiontype":"Task","dependfield":""}}]"
"Wholesale","Investor / Buyer Information ","Buyers EMD Status Date","Date","2","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Buyers First and Last","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Buyers loan status","Option","1","3","","","Acquisition Team ","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Buying Entity or Name","Text","3","3","","","Acquisition Team","Disposition Manager","","","","","","","","","","","","[{"value":"*","task":{"role":"Closing Coordinator Acquisition","name":"New Project ","message":"Review data in wholesale section and start process","duedate":"0","actiontype":"Task"}}]"
"Wholesale","Investor / Buyer Information ","Does lender do double Escrows?","Option","2","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investor Email Address","Text","3","3","","","Acquisition Team","Disposition Manager","","","","","","","","","Investor Name","","",""
"Wholesale","Investor / Buyer Information ","Investor Lenders First and Last Name","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investors Assignment Fully Executed Contract","Link to webpage","KPI","3","","","Acquisition Team","Disposition Manager","","","","","","","","","Assigned","","","[{"value":"*","task":{"role":"Administrator","name":"Assignment contract is signed by buyers","message":"Assignment contract is signed by buyers","duedate":"0","actiontype":"FYI"}},{"value":"*","task":{"role":"Super Administrator","name":"Assignment contract is signed by buyers","message":"Assignment contract is signed by buyers","duedate":"0","actiontype":"FYI"}},{"value":"*","task":{"role":"Acquisition Manager","name":"Assignment contract is signed by buyers","message":"Assignment contract is signed by buyers","duedate":"0","actiontype":"FYI"}},{"value":"*","task":{"role":"Closing Coordinator Resale","name":"Assignment contract is signed by buyers","message":"Follow AoAA process  - %=link(TC - Transaction and Progress Updates ,https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.i2edcwibr1z)%","duedate":"0","actiontype":"Task"}},{"value":"*","task":{"role":"Offer Negotiator","name":"Property is assigned/wholesaled","message":"Set up conversation with agent to initiate assignment using script - %=link(ON - Setting up AoAA, https://docs.google.com/document/d/1SpQj0eZorCLqmMDWI1YiWDu9oT787UDjsDNUE-jaeS4/edit)%","duedate":"0","actiontype":"Call","dependfield":""}}]"
"Wholesale","Investor / Buyer Information ","Investors Buyers cell","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investors estimated COE","Date","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investors Lender email","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investors Lender Name","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investors Lender phone","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investors Offer Price ","Number","2","3","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investors Open/Closed Report","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investor TC ","Text","3","3","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investor TC Email","Text","3","3","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Investor TC Phone","Text","3","3","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Link to 365 Report","Link to webpage","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information "," Link to corporate profile","Link to webpage","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","LOC documents","Attachment","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","POF","Attachment","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Primary Signer First and Last","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Required Double Escrow","Duplicate from Wholesale > General > Required Double Escrow","2","0","","","Acquisition Team ","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Secondary Signer First and Last","Text","3","3","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Verification of wholesale fee in Escrow","Date","1","5","","","Acquisition Team","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","Investor / Buyer Information ","Wholesale Status","Duplicate from Wholesale > General > Wholesale Status","","","","","","","","","","","","","","","","","",""
"Wholesale","Listing Agent","Listing Agent Email","Duplicate from Acquisition Information > Listing Agent Information > Listing Agent Email Address","","","","","","","","","","","","","","","","","",""
"Wholesale","Listing Agent","Listing Agent Name","Duplicate from Acquisition Information > Listing Agent Information > Listing Agent First Name","","","","","","","","","","","","","","","","","",""
"Wholesale","Listing Agent","Listing Agent Phone","Duplicate from Acquisition Information > Listing Agent Information > Listing Agent Cell Phone","","","","","","","","","","","","","","","","","",""
"Wholesale","Listing Agent","TC Email","Duplicate from Acquisition Escrow > Contact - TC for Agent > TC Email","","","","","","","","","","","","","","","","","",""
"Wholesale","Listing Agent","TC Name","Duplicate from Acquisition Escrow > Contact - TC for Agent > TC Name","","","","","","","","","","","","","","","","","",""
"Wholesale","Listing Agent","TC Phone #","Duplicate from Acquisition Escrow > Contact - TC for Agent > TC Phone #","","","","","","","","","","","","","","","","","",""
"Wholesale","Milestones","Contract Close of Escrow Days","Duplicate from Acquisition Information > Final Acquisition Contract Terms > Contract Close of Escrow Days","","","","","","","","","","","","","","","","","",""
"Wholesale","Milestones","Contract Estimated COE","Duplicate from Acquisition Information > Milestones > Contract Estimated COE","","","","","","","","","","","","","","","","","",""
"Wholesale","Milestones","DD Deadline","Duplicate from Acquisition Information > Milestones > DD Deadline","","","","","","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","Milestones","EMD  Deadline ","Duplicate from Acquisition Information > Milestones > EMD Deadline","","","","","","","","","","","","","","","","","",""
"Wholesale","Milestones","Offer Accepted Date","Duplicate from Acquisition Information > Milestones > Offer Accepted Date","KPI","","","","Acquisition Team","Offer Negotiator","","","","","","","","","","Offer Accepted Date","","[{"value":"*","task":{"role":"null","name":"ON has completed \"ON Check List\"","message":"ON has completed \"ON Check List\" file ready to be reviewed -  %=link(New Wholesale Property Approved by AM - TC Check List,https://docs.google.com/document/d/17Yje71-mQhS3uFEdiPejRsqoFMw65_I7l8wJ-Hhb8FA/edit)%","duedate":"0","actiontype":"Task","dependfield":""}}]"
"Wholesale","Milestones","Removal of Contingencies Hard Approval Date","Date","1","3","","","Acquisition Team ","Acquisition Manager","","","","","","","","","","","","[{"value":"*","task":{"role":"Closing Coordinator Acquisition","name":"Request Discount from Escrow","message":"Send Escrow Template:  “Call me email” to ask for discount from escrow\"","duedate":"5","actiontype":"E-mail"}},{"value":"*","task":{"role":"Offer Negotiator","name":"Confirm Final Purchase price ","message":"Only update the following field if the original purchase price has changed - %=field( Acquisition Information,Final Acquisition Contract Terms,Amended Contract Purchase Price )%","duedate":"0","actiontype":"Task"}},{"value":"*","task":{"role":"Closing Coordinator Resale","name":"Approval to remove contingencies by AM","message":"Approval to remove contingencies by AM - Send representing agent template \"Removal of Contingencies\"  or  CC CAR for if we are representing ourselves -  %=link(TC - Transaction and Progress Updates, https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.buxo01lnq9b)%","duedate":"0","actiontype":"E-mail","dependfield":""}}]"
"Wholesale","Milestones","Start Project Date","Duplicate from Acquisition Information > Milestones > Start Project Date","","","","","","","","","","","","","","","","","",""
"Wholesale","Other Costs and Credits ","Explanation of Other Costs and Credits","Text","3","0","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Other Costs and Credits ","Other Cost or Credits Outside of Escrow/Contract ","Duplicate from Acquisition Information > Other Cost or Credits > Other Cost or Credits Outside of Escrow/Contract","","","","","","","","","","","","","","","","","",""
"Wholesale","Selling Agent","Selling Agent Cell Phone","Duplicate from Acquisition Information > Selling Agent Information > Selling Agent Cell Phone","","","","","","","","","","","","","","","","","",""
"Wholesale","Selling Agent","Selling Agent Email Address","Duplicate from Acquisition Information > Selling Agent Information > Selling Agent Email Address","","","","","","","","","","","","","","","","","",""
"Wholesale","Selling Agent","Selling Agent First Name","Duplicate from Acquisition Information > Selling Agent Information > Selling Agent First Name","","","","","","","","","","","","","","","","","",""
"Wholesale","Selling Agent","Selling Agent Last Name","Duplicate from Acquisition Information > Selling Agent Information > Selling Agent Last Name","","","","","","","","","","","","","","","","","",""
