"Section","Group","Field","Type","Value","Time Line","P&P","Default Value","Department","Roles","Notices","Notice Process","QC / Acknoledgment","Escalation and Notes","Task","Task responsible role","Task due date","Task action","Mandatory Field","Parent Field","Fill only for Role","Task Rule"
"Wholesale","Confidence Score","DM's Confidence of Assignment by %","Text","3","1.1","https://docs.google.com/document/d/1dgAKISGFaASUWA5Y-PsucoYJKd-x-d7vCrqPguIpImo/edit?usp=sharing","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Email Subject:","Text","3","1.1","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","FlipWolf Main Photo","Attachment","3","1","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Is ARV value subject to permits","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score"," Is value subject to ADU?","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Is wholesale price higher than listing asking price?","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Link to FlipWolf Data","Text","3","1.1","","","Acquisition Team ","Analyst","","","","","","","","","","","",""
"Wholesale","Confidence Score","Link to Pics","Link to webpage","1","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Link to Social Media Post","Link to webpage","","","","","","","","","","","","","","","","","",""
"Wholesale","Confidence Score","Link to Video","Text","1","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Management Comments ","Option","3","0.1","","","Acquisition Team ","Super Administrator","","","","","","","","","","","","[{"value":"ISC Interested on property","task":{"role":"Disposition Manager","name":"ISC interested in Property","message":"Discuss interest and price with Management ","duedate":"1","actiontype":"Call"}},{"value":"ISC Interested on property","task":{"role":"Closing Coordinator Acquisition","name":"Check to find out if loans need to be started","message":"if “Interested” Find out if loans are needed at this point from Tony Diaz  %=link(New Wholesale Property Approved by AM - TC Check List,https://docs.google.com/document/d/17Yje71-mQhS3uFEdiPejRsqoFMw65_I7l8wJ-Hhb8FA/edit#bookmark=id.d7f9jsg7poqr)%","duedate":"1","actiontype":"Call","dependfield":""}}]"
"Wholesale","Confidence Score","Obsolesces/Issues ","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Obsolesces/Issues Description","Text","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Occupancy","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Rehab Level","Option","3","1.1","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","ROI for time/Effort","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Short description for wholesaling  ","Text","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Who drove the comps?","Option","3","1.1","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Who Inspected Property?","Option","3","1.1","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Wholesale purchase price over 1M","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Confidence Score","Zoning","Option","3","1.1","","","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Brokerage Managing Listing ","Text","2","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Company","Duplicate from Acquisition Information > General > Buyer Owner of Record","","","","","","","","","","","","","","","","","",""
"Wholesale","Development Partner ","Date of DP Agreement ","Date","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Development Partner Agreement ","Attachment","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Development Partner Notes ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","DP Address ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","DP Email Address ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","DP Entity Name ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","DP Phone No. ","Number","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","DP Signer Name ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","How many points are being charged? (numeric)","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","If 1 Venture Realty, Inc Lists Property","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Listing Commission ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Management Fee ","Duplicate from Accounting > Estimated & Final Accounting > Gross Wholesale Fee ","","","","","","","","","","","","","","","","","",""
"Wholesale","Development Partner ","New Buyer Y/N ","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Party Managing Construction ","Option","2","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Party providing the financing? ","Option","2","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
